Lstep Test instances1,Lstep Patlist1,Hstep Test Instances (TTRed),Hstep Patlist (TTRed)
cache_dat_full_0124_minmin_1393333_0101,cache_dat_minvcc_012424_list,cache_dat_score_0124_minmin_1062533_0606,cache_dat_full_012424_list
cache_dat_full_0124_minmin_1393333_0306,cache_dat_minvcc_012424_list,cache_dat_score_0124_minmin_1062533_0726,cache_dat_full_012424_list
cache_dat_full_0124_minmin_1423400_0101,cache_dat_minvcc_012424_list,cache_dat_score_0124_minmin_1172800_0224,cache_dat_full_012424_list
cache_dat_full_0124_minmin_1423400_0411,cache_dat_minvcc_012424_list,cache_dat_score_0124_minmin_1172800_0404,cache_dat_full_012424_list
cache_dat_full_0124_minmin_1443467_0101,cache_dat_minvcc_012424_list,cache_dat_ttrm_0124_maxmax_1062533_0606,cache_dat_full_012424_list
cache_dat_full_0124_minmin_1503600_0306,cache_dat_minvcc_012424_list,cache_dat_ttrm_0124_maxmax_1062533_0706,cache_dat_full_012424_list
cache_dat_full_0124_minmin_1583800_0101,cache_dat_minvcc_012424_list,cache_dat_ttrm_0124_maxmax_1112667_0505,cache_dat_full_012424_list
cache_dat_score_0124_maxmax_1062533_0606,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1112667_0605,cache_dat_full_012424_list
cache_dat_score_0124_maxmax_1062533_0706,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1172800_0206,cache_dat_full_012424_list
cache_dat_score_0124_maxmax_1172800_0206,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1172800_0404,cache_dat_full_012424_list
cache_dat_score_0124_maxmax_1172800_0404,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1172800_0504,cache_dat_full_012424_list
cache_dat_score_0124_minmin_1062533_0606,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1172800_0605,cache_dat_full_012424_list
cache_dat_score_0124_minmin_1062533_0726,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1253000_0303,cache_dat_full_012424_list
cache_dat_score_0124_minmin_1172800_0224,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1253000_0605,cache_dat_full_012424_list
cache_dat_score_0124_minmin_1172800_0404,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1283067_0303,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1062533_0606,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1283067_0403,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1062533_0706,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1283067_0504,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1112667_0505,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1333200_0202,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1112667_0605,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1333200_0302,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1172800_0206,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1333200_0403,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1172800_0404,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1333200_0504,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1172800_0504,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1393333_0302,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1172800_0605,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1423400_0101,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1253000_0303,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1423400_0403,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1253000_0605,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1443467_0101,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1283067_0303,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1503600_0302,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1283067_0403,cache_dat_full_012424_list,cache_dat_ttrm_0124_maxmax_1583800_0101,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1283067_0504,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1062533_0606,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1333200_0202,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1062533_0726,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1333200_0302,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1112667_0505,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1333200_0403,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1112667_0621,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1333200_0504,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1172800_0224,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1393333_0101,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1172800_0404,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1393333_0302,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1172800_0516,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1423400_0101,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1172800_0621,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1423400_0403,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1253000_0303,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1443467_0101,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1253000_0621,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1503600_0302,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1283067_0303,cache_dat_full_012424_list
cache_dat_ttrm_0124_maxmax_1583800_0101,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1283067_0411,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1062533_0606,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1283067_0516,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1062533_0726,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1333200_0202,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1112667_0505,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1333200_0306,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1112667_0621,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1333200_0411,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1172800_0224,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1333200_0516,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1172800_0404,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1393333_0306,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1172800_0516,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1423400_0101,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1172800_0621,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1423400_0411,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1253000_0303,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1443467_0101,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1253000_0621,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1503600_0306,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1283067_0303,cache_dat_full_012424_list,cache_dat_ttrm_0124_minmin_1583800_0101,cache_dat_full_012424_list
cache_dat_ttrm_0124_minmin_1283067_0411,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1062533_1206,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1283067_0516,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1062533_1406,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1333200_0202,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1062533_1906,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1333200_0306,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1112667_1005,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1333200_0411,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1112667_1205,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1333200_0516,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1112667_1605,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1393333_0101,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1172800_0406,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1393333_0306,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1172800_0804,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1423400_0101,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1172800_1004,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1423400_0411,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1172800_1205,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1443467_0101,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1172800_1304,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1503600_0306,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1172800_1605,cache_dis_maxvcc_012424_list
cache_dat_ttrm_0124_minmin_1583800_0101,cache_dat_full_012424_list,cache_dis_full_0124_maxmax_1253000_0603,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1062533_1206,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1253000_1205,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1062533_1406,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1253000_1605,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1062533_1906,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1283067_0603,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1112667_1005,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1283067_0803,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1112667_1205,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1283067_1003,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1112667_1605,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1283067_1004,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1172800_0406,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1283067_1304,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1172800_0804,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1333200_0402,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1172800_1004,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1333200_0602,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1172800_1205,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1333200_0702,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1172800_1304,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1333200_0803,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1172800_1605,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1333200_1003,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1253000_0603,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1333200_1004,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1253000_1205,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1333200_1304,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1253000_1605,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1393333_0602,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1283067_0603,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1393333_0702,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1283067_0803,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1423400_0201,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1283067_1003,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1423400_0803,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1283067_1004,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1423400_1003,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1283067_1304,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1443467_0201,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1333200_0402,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1503600_0602,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1333200_0602,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1503600_0702,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1333200_0702,cache_dis_maxvcc_012424_list,cache_dis_full_0124_maxmax_1583800_0201,cache_dis_maxvcc_012424_list
cache_dis_full_0124_maxmax_1333200_0803,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1062533_1206,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1333200_1003,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1062533_1426,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1333200_1004,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1062533_1926,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1333200_1304,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1112667_1005,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1393333_0201,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1112667_1221,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1393333_0602,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1112667_1621,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1393333_0702,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1172800_0424,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1423400_0201,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1172800_0804,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1423400_0803,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1172800_1016,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1423400_1003,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1172800_1221,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1443467_0201,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1172800_1316,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1503600_0602,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1172800_1621,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1503600_0702,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1253000_0603,cache_dis_minvcc_012424_list
cache_dis_full_0124_maxmax_1583800_0201,cache_dis_maxvcc_012424_list,cache_dis_full_0124_minmin_1253000_1221,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1062533_1206,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1253000_1621,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1062533_1426,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1283067_0603,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1062533_1926,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1283067_0811,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1112667_1005,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1283067_1011,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1112667_1221,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1283067_1016,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1112667_1621,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1283067_1316,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1172800_0424,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1333200_0402,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1172800_0804,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1333200_0606,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1172800_1016,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1333200_0706,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1172800_1221,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1333200_0811,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1172800_1316,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1333200_1011,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1172800_1621,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1333200_1016,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1253000_0603,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1333200_1316,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1253000_1221,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1393333_0606,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1253000_1621,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1393333_0706,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1283067_0603,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1423400_0201,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1283067_0811,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1423400_0811,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1283067_1011,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1423400_1011,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1283067_1016,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1443467_0201,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1283067_1316,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1503600_0606,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1333200_0402,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1503600_0706,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1333200_0606,cache_dis_minvcc_012424_list,cache_dis_full_0124_minmin_1583800_0201,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1333200_0706,cache_dis_minvcc_012424_list,cache_dis_score_0124_maxmax_1062533_1206,cache_dis_maxvcc_012424_list
cache_dis_full_0124_minmin_1333200_0811,cache_dis_minvcc_012424_list,cache_dis_score_0124_maxmax_1062533_1406,cache_dis_maxvcc_012424_list
cache_dis_full_0124_minmin_1333200_1011,cache_dis_minvcc_012424_list,cache_dis_score_0124_maxmax_1062533_1906,cache_dis_maxvcc_012424_list
cache_dis_full_0124_minmin_1333200_1016,cache_dis_minvcc_012424_list,cache_dis_score_0124_maxmax_1172800_0406,cache_dis_maxvcc_012424_list
cache_dis_full_0124_minmin_1333200_1316,cache_dis_minvcc_012424_list,cache_dis_score_0124_maxmax_1172800_0804,cache_dis_maxvcc_012424_list
cache_dis_full_0124_minmin_1393333_0201,cache_dis_minvcc_012424_list,cache_dis_score_0124_minmin_1062533_1206,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1393333_0606,cache_dis_minvcc_012424_list,cache_dis_score_0124_minmin_1062533_1426,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1393333_0706,cache_dis_minvcc_012424_list,cache_dis_score_0124_minmin_1062533_1926,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1423400_0201,cache_dis_minvcc_012424_list,cache_dis_score_0124_minmin_1172800_0424,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1423400_0811,cache_dis_minvcc_012424_list,cache_dis_score_0124_minmin_1172800_0804,cache_dis_minvcc_012424_list
cache_dis_full_0124_minmin_1423400_1011,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1062533_1206,cache_dis_full_012424_list
cache_dis_full_0124_minmin_1443467_0201,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1062533_1406,cache_dis_full_012424_list
cache_dis_full_0124_minmin_1503600_0606,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1062533_1906,cache_dis_full_012424_list
cache_dis_full_0124_minmin_1503600_0706,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1112667_1005,cache_dis_full_012424_list
cache_dis_full_0124_minmin_1583800_0201,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1112667_1205,cache_dis_full_012424_list
cache_dis_score_0124_maxmax_1062533_1206,cache_dis_maxvcc_012424_list,cache_dis_ttrm_0124_maxmax_1112667_1605,cache_dis_full_012424_list
cache_dis_score_0124_maxmax_1062533_1406,cache_dis_maxvcc_012424_list,cache_dis_ttrm_0124_maxmax_1172800_0406,cache_dis_full_012424_list
cache_dis_score_0124_maxmax_1062533_1906,cache_dis_maxvcc_012424_list,cache_dis_ttrm_0124_maxmax_1172800_0804,cache_dis_full_012424_list
cache_dis_score_0124_maxmax_1172800_0406,cache_dis_maxvcc_012424_list,cache_dis_ttrm_0124_maxmax_1172800_1004,cache_dis_full_012424_list
cache_dis_score_0124_maxmax_1172800_0804,cache_dis_maxvcc_012424_list,cache_dis_ttrm_0124_maxmax_1172800_1205,cache_dis_full_012424_list
cache_dis_score_0124_minmin_1062533_1206,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1172800_1304,cache_dis_full_012424_list
cache_dis_score_0124_minmin_1062533_1426,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1172800_1605,cache_dis_full_012424_list
cache_dis_score_0124_minmin_1062533_1926,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1253000_0603,cache_dis_full_012424_list
cache_dis_score_0124_minmin_1172800_0424,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1253000_1205,cache_dis_full_012424_list
cache_dis_score_0124_minmin_1172800_0804,cache_dis_minvcc_012424_list,cache_dis_ttrm_0124_maxmax_1253000_1605,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1062533_1206,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1283067_0603,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1062533_1406,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1283067_0803,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1062533_1906,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1283067_1003,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1112667_1005,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1283067_1004,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1112667_1205,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1283067_1304,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1112667_1605,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1333200_0402,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1172800_0406,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1333200_0602,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1172800_0804,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1333200_0702,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1172800_1004,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1333200_0803,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1172800_1205,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1333200_1003,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1172800_1304,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1333200_1004,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1172800_1605,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1333200_1304,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1253000_0603,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1393333_0602,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1253000_1205,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1393333_0702,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1253000_1605,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1423400_0201,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1283067_0603,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1423400_0803,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1283067_0803,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1423400_1003,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1283067_1003,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1443467_0201,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1283067_1004,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1503600_0602,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1283067_1304,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1503600_0702,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1333200_0402,cache_dis_full_012424_list,cache_dis_ttrm_0124_maxmax_1583800_0201,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1333200_0602,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1062533_1206,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1333200_0702,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1062533_1426,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1333200_0803,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1062533_1926,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1333200_1003,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1112667_1005,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1333200_1004,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1112667_1221,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1333200_1304,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1112667_1621,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1393333_0201,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1172800_0424,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1393333_0602,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1172800_0804,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1393333_0702,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1172800_1016,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1423400_0201,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1172800_1221,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1423400_0803,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1172800_1316,cache_dis_full_012424_list
cache_dis_ttrm_0124_maxmax_1423400_1003,cache_dis_full_012424_list,cache_dis_ttrm_0124_minmin_1172800_1621,cache_dis_full_012424_list
