Test Template,Test Template Name in TPL,Test Instances in TPL,,,,
iCShopsTest,dc_open_U_short_THRMDC_diode_os,dc_open_U_short_THRMDC_diode_os_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_gtlref_os,dc_open_U_short_gtlref_os_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_dc_PROCHOT_FORCEPR_M_DC,dc_open_U_short_dc_PROCHOT_FORCEPR_M_DC_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_OpenLower_all_pins_lower_os_M_DC,dc_OpenLower_all_pins_lower_os_M_DC_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_OpenLower_THRMDA_diode_os,dc_OpenLower_THRMDA_diode_os_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_OpenLower_gtlref_os,dc_OpenLower_gtlref_os_eos1,-2,-1,0,1,2,3,4,5,6
iCFuncTest,bscan_opens_die1,bscan_opens_die1_eos1,-2,-1,0,1,2,3,4,5,
iCFuncTest,bscan_opens_die2,bscan_opens_die2_eos1,-2,-1,0,1,2,3,4,5,
,SHOPSFLOW_comp_1,SHOPSFLOW_comp_eos1,0,1,,,,,,,
,TTR_VCC_Cont_comp_0,TTR_VCC_Cont_comp_eos0,0,1,,,,,,,
iCSampleRateTest,EDC_sample_rate,EDC_sample_rate_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Core_PSMI,Fmax_Search_Core_PSMI_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Cache,Fmax_Search_Cache_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_DieSpt_DieSym_HFM,Fmax_Search_DieSpt_DieSym_HFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Die0_Die1_HFM,Fmax_Search_Die0_Die1_HFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_DieSpt_DieSym_LFM,Fmax_Search_DieSpt_DieSym_LFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Die0_Die1_LFM,Fmax_Search_Die0_Die1_LFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_Cache,Vmin_Search_Cache_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_DieSpt_DieSym_HFM,Vmin_Search_DieSpt_DieSym_HFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_Die0_Die1_HFM,Vmin_Search_Die0_Die1_HFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_DieSpt_DieSym_LFM,Vmin_Search_DieSpt_DieSym_LFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_Die0_Die1_LFM,Vmin_Search_Die0_Die1_LFM_eos0,-2,-1,0,1,2,,,,
iCLeakageTest,KC_leakage_low,KC_leakage_low_eos0,-2,-1,0,1,2,3,4,5,
iCLeakageTest,KC_leakage_low_LowRes,KC_leakage_low_LowRes_eos0,-2,-1,0,1,2,3,4,5,
iCLeakageTest,KC_leakage_high,KC_leakage_high_eos0,-2,-1,0,1,2,3,4,5,6
iCLeakageTest,KC_leakage_high_LowRes,KC_leakage_high_LowRes_eos0,-2,-1,0,1,2,3,4,5,6
iCPowerDownTest,Stby_Voltage_dummy,Stby_Voltage_dummy_eos0,-2,-1,0,1,,,,,
iCNGFuseConfigTest,iF_CWMA_NGFuseConfig_ST_ENABLE,iF_CWMA_NGFuseConfig_ST_ENABLE_eos0,-2,-1,0,1,,,,,
iCSearchTest,iF_CWMA_VminSleepTransCacheDV,iF_CWMA_VminSleepTransCacheDV_eos0,-2,-1,0,1,2,,,,
iCNGFuseConfigTest,iF_CWMA_NGFuseConfig_ST_DISABLE,iF_CWMA_NGFuseConfig_ST_DISABLE_eos0,-2,-1,0,1,,,,,
iCPowerDownTest,CacheDV_Stby_Voltage_dummy,CacheDV_Stby_Voltage_dummy_eos0,-2,-1,0,1,,,,,
iCSearchTest,iF_CWMA_VminCacheDV,iF_CWMA_VminCacheDV_eos0,-2,-1,0,1,2,,,
,CacheDV_Stby_Voltage_comp_0,CacheDV_Stby_Voltage_comp_eos0,0,1,,,,,,
iCSearchTest,iF_CWMA_VminSTMCacheDV,iF_CWMA_VminSTMCacheDV_eos0,-2,-1,0,1,2,,,
,CacheDV_ST_comp_0,CacheDV_ST_comp_eos0,0,1,,,,,,
,Cache_DV_comp_0,Cache_DV_comp_eos0,0,1,,,,,,
,Stby_Voltage_comp_0,Stby_Voltage_comp_eos0,0,1,,,,,,
iCFuncTest,pbistl1_eh_c_011002_bf83_c155p105ExactEH,pbistl1_eh_c_011002_bf83_c155p105ExactEH_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,pbistl2_TAGLRU_eh_c_011002_bf83_c155p105ExactEH,pbistl2_TAGLRU_eh_c_011002_bf83_c155p105ExactEH_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,pbistl2_Data_eh_c_011002_bf83_c155p105ExactEH,pbistl2_Data_eh_c_011002_bf83_c155p105ExactEH_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,pbistl1_lf_bypass20_c150p105Exact,pbistl1_lf_bypass20_c150p105Exact_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,pbistl2_lf_bypass20_c150p105Exact,pbistl2_lf_bypass20_c150p105Exact_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,stm_stm_l2_bypass5s_c150p105ExactSTM,stm_stm_l2_bypass5s_c150p105ExactSTM_eos0,-2,-1,0,1,2,3,4,5
iCLeakageTest,KC_voh_Rodt_agtl_od_cmos_die1,KC_voh_Rodt_agtl_od_cmos_die1_eos0,-2,-1,0,1,2,3,4,5
iCLeakageTest,KC_voh_Rodt_agtl_od_cmos_die2,KC_voh_Rodt_agtl_od_cmos_die2_eos0,-2,-1,0,1,2,3,4,5
iCLeakageTest,KC_vol_Ron_agtl_od_cmos_die1,KC_vol_Ron_agtl_od_cmos_die1_eos0,-2,-1,0,1,2,3,4,5
iCLeakageTest,KC_vol_Ron_agtl_od_cmos_die2,KC_vol_Ron_agtl_od_cmos_die2_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vix_tight_bf83_c125p105MinTvihTvil_die1,vix_tight_bf83_c125p105MinTvihTvil_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vix_tight_bf83_c125p105MinTvihTvil_die2,vix_tight_bf83_c125p105MinTvihTvil_die2_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vil_tight_bf83_c125p105MaxTvihTvil_die1,vil_tight_bf83_c125p105MaxTvihTvil_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vil_tight_bf83_c125p105MaxTvihTvil_die2,vil_tight_bf83_c125p105MaxTvihTvil_die2_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vil_tight_bf83_c125p105MinLvihTvil_die1,vil_tight_bf83_c125p105MinLvihTvil_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vil_tight_bf83_c125p105MinLvihTvil_die2,vil_tight_bf83_c125p105MinLvihTvil_die2_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vih_tight_bf83_c125p105MinTvihLvil_die1,vih_tight_bf83_c125p105MinTvihLvil_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vih_tight_bf83_c125p105MinTvihLvil_die2,vih_tight_bf83_c125p105MinTvihLvil_die2_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vil_tight_bf83_c125p105MaxLvihTvil_die1,vil_tight_bf83_c125p105MaxLvihTvil_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vil_tight_bf83_c125p105MaxLvihTvil_die2,vil_tight_bf83_c125p105MaxLvihTvil_die2_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vih_tight_bf83_c125p105MaxTvihLvil_die1,vih_tight_bf83_c125p105MaxTvihLvil_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vih_tight_bf83_c125p105MaxTvihLvil_die2,vih_tight_bf83_c125p105MaxTvihLvil_die2_eos0,-2,-1,0,1,2,3,4,5
iCSearchTest,agtlvil_coeff_search_die1,agtlvil_coeff_search_die1_eos0,-2,-1,0,1,2,,,
iCSearchTest,agtlvil_coeff_search_die2,agtlvil_coeff_search_die2_eos0,-2,-1,0,1,2,,,
iCSearchTest,agtlvih_coeff_search_die1,agtlvih_coeff_search_die1_eos0,-2,-1,0,1,2,,,
iCSearchTest,agtlvih_coeff_search_die2,agtlvih_coeff_search_die2_eos0,-2,-1,0,1,2,,,
iCFuncTest,vix_loose_tdo1_bf83_c125p105MinTvihTvil_die1,vix_loose_tdo1_bf83_c125p105MinTvihTvil_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vix_loose_tdo1_bf83_c125p105MinTvihTvil_die2,vix_loose_tdo1_bf83_c125p105MinTvihTvil_die2_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vix_loose_tdo1_bf83_c125p105MaxTvihLvil_die1,vix_loose_tdo1_bf83_c125p105MaxTvihLvil_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,vix_loose_tdo1_bf83_c125p105MaxTvihLvil_die2,vix_loose_tdo1_bf83_c125p105MaxTvihLvil_die2_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,DS10_0106c_c12125p105Min,DS10_0106c_c12125p105Min_eos0,-2,-1,0,1,,,,
iCFuncTest,scan_test_die1,scan_test_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,scan_test_die2,scan_test_die2_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,scan_test_chain_die1,scan_test_chain_die1_eos0,-2,-1,0,1,2,3,4,5
iCFuncTest,scan_test_chain_die2,scan_test_chain_die2_eos0,-2,-1,0,1,2,3,4,5
iCRampageTest,BLANK_TEST,BEGIN_TTRM_FLOW1_eos0,0,1,2,3,4,5,6,
iCRampageTest,BLANK_TEST,T1_Flow1_1,0,1,,,,,,
iCRampageTest,BLANK_TEST,T1_Flow2_1,0,1,,,,,,
iCRampageTest,BLANK_TEST,T1_Flow3_1,0,1,,,,,,
iCRampageTest,BLANK_TEST,T1_Flow4_1,0,1,,,,,,
iCRampageTest,BLANK_TEST,T1_Flow5_1,0,1,,,,,,
iCRampageTest,BLANK_TEST,T1_Flow6_1,0,1,,,,,,
iCRampageTest,BLANK_TEST,BEGIN_SPEED_FLOW2_eos0,0,1,2,3,4,5,6
iCRampageTest,BLANK_TEST,S2_Flow1_1,0,1,,,,,
iCRampageTest,BLANK_TEST,S2_Flow2_1,0,1,,,,,
iCRampageTest,BLANK_TEST,S2_Flow3_1,0,1,,,,,
iCRampageTest,BLANK_TEST,S2_Flow4_1,0,1,,,,,
iCRampageTest,BLANK_TEST,S2_Flow5_1,0,1,,,,,
iCRampageTest,BLANK_TEST,S2_Flow6_1,0,1,,,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_9_Flow1_1,-2,-1,0,1,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_9_Flow1_2,-2,-1,0,1,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_9_Flow1_3,-2,-1,0,1,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_9_Flow1_4,-2,-1,0,1,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_9_Flow1_5,-2,-1,0,1,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_7_Flow1_1,-2,-1,0,1,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_7_Flow1_2,-2,-1,0,1,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_7_Flow1_3,-2,-1,0,1,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_7_Flow1_4,-2,-1,0,1,,,
iCRampageTest,BLANK_TEST,S1_COMPFF_7_Flow1_5,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_6_Flow1_1,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_6_Flow1_2,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_6_Flow1_3,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_6_Flow1_4,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_6_Flow1_5,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_6_Flow1_6,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_5_Flow1_1,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_5_Flow1_2,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_5_Flow1_3,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_5_Flow1_4,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_5_Flow1_5,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_1,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_10,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_11,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_12,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_2,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_3,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_4,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_5,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_6,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_7,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_8,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_4_Flow1_9,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_3_Flow1_1,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_3_Flow1_2,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_3_Flow1_3,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_3_Flow1_4,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_3_Flow1_5,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_1_Flow1_1,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_1_Flow1_2,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_1_Flow1_3,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_1_Flow1_4,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMPFF_1_Flow1_5,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMP4_8_Flow1_1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_8_Flow1_2,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_8_Flow1_3,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_8_Flow1_4,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_8_Flow1_5,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_8_Flow1_6,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_8_Flow1_7,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_8_Flow1_8,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_1,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_10,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_11,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_12,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_13,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_14,-2,-1,0,1
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_15,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_16,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_2,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_3,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_4,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_5,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_6,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_7,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_8,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_7_Flow1_9,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_6_Flow1_1,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_6_Flow1_10,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_6_Flow1_11,-2,-1,0,1,2,3
iCRampageTest,BLANK_TEST,S1_COMP4_6_Flow1_12,-2,-1,0,1,2,3
iCRampageTest,BLANK_TEST,S1_COMP4_6_Flow1_13,-2,-1,0,1,,
iCRampageTest,BLANK_TEST,S1_COMP4_6_Flow1_14,-2,-1,0,1,2,3
