
!**TABLE** ID 3:1 Rows:531 Cols:98 Cells:0
!  Name : DATA LEVEL=DIE 
! +Info :  

,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,DIEFDT,,,
W5083688    778    11   0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4034,7822,G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,28306,,,,,,,,,,,Default,,
W5083688    783     2   2,,,,,,-1,768,"328,7806",G1701756P2468204_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_RHINE_RAND_006,2218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083688    783    -1   4,,,,,,,,,,,-1,4865,307,G1682498P2504408_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_MOS_SASEGARYM_FLASHCOPY_FDS_HIGHBITS_,8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083688    755    -2   9,,,,,,,,,,,-1,5527,8014,G1674921P2260358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BASIC_PM_MOVS,8517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083688    778    -2   2,,,,,,,,,,,,,,,,,,,,,-1,2932,"3811,4501,4504,4530,4507,4509,4532,4302,4306,4030,4304,4309,4132,4026,4130,4023,4325,4316,4128,4119,4002,4004,4126,4111,3823,3808,4108,3819",G1650558P2411352_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_TBPU_CR_LBR_T1,9116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083688    783     3  -8,,,,,,,,,,,,,,,,,,,,,-1,2930,4501,G1683658P2250138_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_GLOBAL_ARR_TEST,6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083688    778     7  -7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2742,"7605,7818,116,105",G1404730P2231228_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_NINT_CALLRET_ORP_002,23822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083688    783    -2   3,,,,,,,,,,,,,,,,,,,,,,,,,,-1,16936,"4530,4304,4132,4130,4123,4318,4128,4111,3823",G1709879P2463754_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_984397015,19923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083688    752    -2   8,,,,,,,,,,,,,,,,,,,,,,,,,,-1,11387,"3811,4501,4504,4530,4507,4509,4532,4132,4130,4318,4128,4119,4002,4004,4126,4111,3823,3808,3826,3821,4109,4108,3819",G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825,14377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
W5083688    783    -9  -5,,,,,,,,,,,,,,,,,,,,,,,,,,-1,854,"328,7813,7619,531,7630,529,7632,126,7830,7819,7821,109,7811,7817,8009",G1704199P2244208_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_COMBM2_RAND_KM_RM2_E_12,2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1824,"7829,7827,103,8001,110,125",G1411236P2527218_014040_PK03DC_LBXXX_US1XM1X0XXXIXXXXX_FRITS_FLAME_FSFB_STLD,972116,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,
