"SBFT_FULL_0140_MINMIN_833333_0101","BF_014444_MINMIN_642800_0433","XSHIP_GV133_012525_MINMIN_1333333_0103","BF_014444_NOMNOM_452000_0247","SBFT_SIGON_1500_NOM","XSHIP_GV133_012323_MINMIN_1333067_0123","SBFT_SIGON_1800_NOM","BF_014444_MINMIN_733200_0213","SBFT_SIGON_2000_NOM","BF_014444_MINMIN_763333_0103","BF_014444_MAXMAX_763333_0104","SBFT_SIGON_1000_NOM_FF","SBFT_FULL_FMAX_SEARCH_120MV","BF_SIGEN1500_VID_014444_NOMNOM_341500_0363","BF_014444_MINMIN_612667_0543","SCANATPG_0120_NOM_1200","BF_014444_NOMNOM_452000_0217","BF_014444_NOMNOM_452000_0257","BF_SIGEN2000_VID_014444_NOMNOM_452000_0262","BF_014444_NOMNOM_452000_0237","BF_SIGEN1000_014444_NOMNOM_231000_0457","SCANATPG_SCOREBOARD_0120_NOM_1000","BF_SIGEN1500_014444_NOMNOM_341500_0357","BF_014444_NOMNOM_452000_0227","BF_SIGEN1000_VID_014444_NOMNOM_231000_0461","SCANATPG_0120_NOM_1000","SBFT_FULL_0140_MINMIN_632533_1826","BF_014444_MINMIN_703067_0323","SBFT_FULL_0140_MINMIN_702800_1216","BF_014444_NOMNOM_452000_0207","SBFT_FAFI_0140_MINMIN_632533_2026","SBFT_FF_2G_0140_MINMIN_502000_2126","BF_014444_MINMIN_582533_0653","SBFT_FULL_0140_MINMIN_672667_1521",
,,,,,,,,,,,,"G1405366P2230758_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MMX_PAGING_ORP_002",,,,,,,,,,,,,,,,,,,,,,"W5083658    189    -9  -2"
,,,,,,,,,,,,"G1615710P2375990_014040_PK07DQ_FBXXX_US1XM1X0XXXIXXXXX_HE_ALUOPS_RANDOM_11_PORT2_DPDAT",,,,,,,,,,,,,,,,,,,,,,"W5083658    203    11  -3"
,,,,,,,,,,,,"G1615710P2375990_014040_PK07DQ_FBXXX_US1XM1X0XXXIXXXXX_HE_ALUOPS_RANDOM_11_PORT2_DPDAT",,,,,,,,,,,,,,,,,,,,,,"W5083658    189    -3  -4"
,,,,,,,,,,,,"G1615710P2375990_014040_PK07DQ_FBXXX_US1XM1X0XXXIXXXXX_HE_ALUOPS_RANDOM_11_PORT2_DPDAT",,,,,,,,,,,,,,,,,,,,,,"W5083658    189     2   5"
,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,,"W5083658    189    -3   2"
,,,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,,,,,,,,,,,,"W5083658    203   -10  -5"
,,,,,,,,,"G1702248P2429384_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_ARRAY_TEST_MT_233455398",,,,,,,,,,,,,,,,,,,,,,,,,"W5083658    189    -2  -1"
,,,,,,,,,"G1671217P2326108_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_FT_BADADDR",,,,,,,,,,,,,,,,,,,,,,,,,"W5083658    189    10   0"
,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,,,,,,,,,,,"W5083658    203     2  -8"
,,,,,,,,,,,,"G1615710P2375990_014040_PK07DQ_FBXXX_US1XM1X0XXXIXXXXX_HE_ALUOPS_RANDOM_11_PORT2_DPDAT",,,,,,,,,,,,,,,,,,,,,,"W5083658    203    -1  -7"
