TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
17320.6594,7721,956,8PLADVHH,3,18.11784456,PSCDTJMH8MC830G0
12621.8822,7721,948,8PLADVHH,3,13.31422173,PSCDTJMH8MC830G0
10897.9867,7721,825,8PLADVHH,3,13.20968085,PSCDTJMH8MC830G0
14669.6103,7721,971,8PLADVHH,3,15.1077346,PSCDTJMH8MC830G0
12312.1024,7721,924,8PLADVHH,3,13.32478615,PSCDTJMH8MC830G0
9461.9088,7721,711,8PLADVHH,3,13.30788861,PSCDTJMH8MC830G0
11458.4578,7721,783,8PLADVHH,3,14.63404572,PSCDTJMH8MC830G0
11287.6496,7721,845,8PLADVHH,3,13.35816521,PSCDTJMH8MC830G0
12860.8699,7721,770,8PLADVHH,3,16.70242844,PSCDTJMH8MC830G0
10450.8493,7721,786,8PLADVHH,3,13.29624593,PSCDTJMH8MC830G0
9330.4726,7721,698,8PLADVHH,3,13.36743926,PSCDTJMH8MC830G0
13272.1287,7721,713,8PLADVHH,3,18.61448626,PSCDTJMH8MC830G0
10177.0186,7721,679,8PLADVHH,3,14.98824536,PSCDTJMH8MC830G0
13321.7136,7721,939,8PLADVHH,3,14.18712843,PSCDTJMH8MC830G0
8241.9016,7721,543,8PLADVHH,3,15.17845599,PSCDTJMH8MC830G0
8346.5525,7721,622,8PLADVHH,3,13.41889469,PSCDTJMH8MC830G0
11705.5702,7721,840,8PLADVHH,3,13.93520262,PSCDTJMH8MC830G0
9017.6229,7721,677,8PLADVHH,3,13.31997474,PSCDTJMH8MC830G0
7243.9681,7721,503,8PLADVHH,3,14.40152704,PSCDTJMH8MC830G0
9624.7795,7721,629,8PLADVHH,3,15.30171622,PSCDTJMH8MC830G0
11835.8499,7721,807,8PLADVHH,3,14.66648067,PSCDTJMH8MC830G0
6473.4198,7721,412,8PLADVHH,3,15.71218398,PSCDTJMH8MC830G0
6840.3925,7721,497,8PLADVHH,3,13.76336519,PSCDTJMH8MC830G0
3865.8422,7721,271,8PLADVHH,3,14.26510037,PSCDTJMH8MC830G0
12123.0765,7721,813,8PLADVHH,3,14.91153321,PSCDTJMH8MC830G0
10669.373,7721,792,8PLADVHH,3,13.47143056,PSCDTJMH8MC830G0
10645.1633,7721,798,8PLADVHH,3,13.33980363,PSCDTJMH8MC830G0
11825.9596,7721,754,8PLADVHH,3,15.68429655,PSCDTJMH8MC830G0
10910.0719,7721,722,8PLADVHH,3,15.11090291,PSCDTJMH8MC830G0
7515.1161,7721,543,8PLADVHH,3,13.83999282,PSCDTJMH8MC830G0
9378.1477,7721,666,8PLADVHH,3,14.08130285,PSCDTJMH8MC830G0
8040.7531,7721,568,8PLADVHH,3,14.15625546,PSCDTJMH8MC830G0
7113.0623,7721,511,8PLADVHH,3,13.91988708,PSCDTJMH8MC830G0
9542.6313,7721,713,8PLADVHH,3,13.38377461,PSCDTJMH8MC830G0
8622.7609,7721,649,8PLADVHH,3,13.28622635,PSCDTJMH8MC830G0
11135.5369,7721,757,8PLADVHH,3,14.71008838,PSCDTJMH8MC830G0
9923.6948,7721,749,8PLADVHH,3,13.24925874,PSCDTJMH8MC830G0
9560.521,7721,713,8PLADVHH,3,13.40886536,PSCDTJMH8MC830G0
6323.4677,7721,430,8PLADVHH,3,14.70573884,PSCDTJMH8MC830G0
10138.887,7721,758,8PLADVHH,3,13.37584037,PSCDTJMH8MC830G0
8830.6301,7721,657,8PLADVHH,3,13.44083729,PSCDTJMH8MC830G0
12427.982,7721,936,8PLADVHH,3,13.27775855,PSCDTJMH8MC830G0
6516.9144,7721,494,8PLADVHH,3,13.19213441,PSCDTJMH8MC830G0
8285.2079,7721,592,8PLADVHH,3,13.99528361,PSCDTJMH8MC830G0
9202.5097,7721,690,8PLADVHH,3,13.33697058,PSCDTJMH8MC830G0
9906.4653,7721,714,8PLADVHH,3,13.87460126,PSCDTJMH8MC830G0
7196.5763,7721,542,8PLADVHH,3,13.27781605,PSCDTJMH8MC830G0
11413.6975,7721,827,8PLADVHH,3,13.80132709,PSCDTJMH8MC830G0
9213.0055,7721,689,8PLADVHH,3,13.37156096,PSCDTJMH8MC830G0
11285.4739,7721,850,8PLADVHH,3,13.27702812,PSCDTJMH8MC830G0
8809.2471,7721,663,8PLADVHH,3,13.28694887,PSCDTJMH8MC830G0
14010.1778,7721,1022,8PLADVHH,3,13.70858885,PSCDTJMH8MC830G0
24797.9245,7721,1087,8PLADVHH,3,22.81317801,PSCDTJMH8MC830G0
8878.4846,7721,674,8PLADVHH,3,13.17282582,PSCDTJMH8MC830G0
10366.4101,7721,740,8PLADVHH,3,14.0086623,PSCDTJMH8MC830G0
8751.3266,7721,655,8PLADVHH,3,13.36080397,PSCDTJMH8MC830G0
14538.3391,7721,825,8PLADVHH,3,17.62222921,PSCDTJMH8MC830G0
10609.8257,7721,798,8PLADVHH,3,13.29552093,PSCDTJMH8MC830G0
9230.587,7721,519,8PLADVHH,3,17.78533141,PSCDTJMH8MC830G0
12043.4311,7721,899,8PLADVHH,3,13.39647508,PSCDTJMH8MC830G0
6961.077,7721,527,8PLADVHH,3,13.20887476,PSCDTJMH8MC830G0
12875.4348,7721,912,8PLADVHH,3,14.11780132,PSCDTJMH8MC830G0
4248.2475,7721,316,8PLADVHH,3,13.4438212,PSCDTJMH8MC830G0
3602.4436,7721,269,8PLADVHH,3,13.39198364,PSCDTJMH8MC830G0
3660.1865,7721,232,8PLADVHH,3,15.77666595,PSCDTJMH8MC830G0
7124.2022,7721,535,8PLADVHH,3,13.31626579,PSCDTJMH8MC830G0
4479.881,7721,337,8PLADVHH,3,13.29341543,PSCDTJMH8MC830G0
2685.2154,7721,203,8PLADVHH,3,13.22766207,PSCDTJMH8MC830G0
5599.2603,7721,422,8PLADVHH,3,13.26838934,PSCDTJMH8MC830G0
4514.6846,7721,253,8PLADVHH,3,17.84460316,PSCDTJMH8MC830G0
8708.4339,7721,595,8PLADVHH,3,14.63602336,PSCDTJMH8MC830G0
4143.1957,7721,314,8PLADVHH,3,13.19489076,PSCDTJMH8MC830G0
8682.643,7721,540,8PLADVHH,3,16.07896852,PSCDTJMH8MC830G0
5523.4966,7721,415,8PLADVHH,3,13.30963036,PSCDTJMH8MC830G0
12027.3151,7721,898,8PLADVHH,3,13.39344666,PSCDTJMH8MC830G0
8118.0454,7721,608,8PLADVHH,3,13.35204836,PSCDTJMH8MC830G0
12791.5518,7721,962,8PLADVHH,3,13.29683139,PSCDTJMH8MC830G0
14759.2635,7721,806,8PLADVHH,3,18.31174132,PSCDTJMH8MC830G0
13288.2933,7721,942,8PLADVHH,3,14.10646847,PSCDTJMH8MC830G0
6175.6566,7721,461,8PLADVHH,3,13.39621822,PSCDTJMH8MC830G0
9920.6517,7721,747,8PLADVHH,3,13.28065823,PSCDTJMH8MC830G0
9808.7697,7721,731,8PLADVHH,3,13.4182896,PSCDTJMH8MC830G0
6648.3215,7721,500,8PLADVHH,3,13.296643,PSCDTJMH8MC830G0
11803.2328,7721,885,8PLADVHH,3,13.33698621,PSCDTJMH8MC830G0
16365.5809,7721,1032,8PLADVHH,3,15.85812103,PSCDTJMH8MC830G0
374.8552,7721,25,8PLAEVHH,3,14.994208,PSCDTJMH8MC830G0
314.6943,7721,24,8PLAEVHH,3,13.1122625,PSCDTJMH8MC830G0
412.3077,7721,31,8PLAEVHH,3,13.30024839,PSCDTJMH8MC830G0
172.261,7721,13,8PLAEVHH,3,13.25084615,PSCDTJMH8MC830G0
444.1895,7721,34,8PLAEVHH,3,13.06439706,PSCDTJMH8MC830G0
2849.8186,7721,148,8PLAEVHH,3,19.25553108,PSCDTJMH8MC830G0
26.5994,7721,2,8PLAEVHH,3,13.2997,PSCDTJMH8MC830G0
460.1328,7721,35,8PLAEVHH,3,13.14665143,PSCDTJMH8MC830G0
406.3446,7721,30,8PLAEVHH,3,13.54482,PSCDTJMH8MC830G0
225.642,7721,16,8PLAEVHH,3,14.102625,PSCDTJMH8MC830G0
383.4988,7721,29,8PLAEVHH,3,13.22409655,PSCDTJMH8MC830G0
209.3408,7721,16,8PLAEVHH,3,13.0838,PSCDTJMH8MC830G0
1038.8162,7721,76,8PLAEVHH,3,13.66863421,PSCDTJMH8MC830G0
211.7133,7721,16,8PLAEVHH,3,13.23208125,PSCDTJMH8MC830G0
2428.4825,7721,175,8PLAEVHH,3,13.87704286,PSCDTJMH8MC830G0
1022.4563,7721,69,8PLAEVHH,3,14.81820725,PSCDTJMH8MC830G0
66.0062,7721,5,8PLAEVHH,3,13.20124,PSCDTJMH8MC830G0
