LOT,OPER,DEVREVSTEP,TP,TTEST,TGOOD,B1,B2,B3,B4,B5,B6
M530C024,7721,8PUAEVL,PSCDTJML0MCA55B0,1149,1120,,,36,1376,2652,909
M530C055,7721,8PUAEVL,PSCDTJML0MCA55B0,1217,1196,,,82,1701,2537,918
M530C056,7721,8PUAEVL,PSCDTJML0MCA55B0,1063,1041,,,102,1482,2244,670
M530C196,7721,8PUAEVL,PSCDTJML0MCA55B3,1111,1087,,,231,2894,4510,1886
M530C197,7721,8PUAEVL,PSCDTJML0MCA55B0,1190,1173,,,92,1656,2480,1013
M530C197,7721,8PUAEVL,PSCDTJML0MCA55B3,1190,1173,,,70,1528,2519,1071
M530C198,7721,8PUAEVL,PSCDTJML0MCA55B0,1083,1063,,,49,1300,2603,805
M530C199,7721,8PUAEVL,PSCDTJML0MCA55B0,1219,1201,,,58,1345,2993,997
M530C200,7721,8PUAEVL,PSCDTJML0MCA55B0,1202,1201,,,46,1415,3086,1060
M530C200,7721,8PUAEVL,PSCDTJML0MCA55B3,1202,1201,,,55,1210,3089,1100
M530C201,7721,8PUAEVL,PSCDTJML0MCA55B0,1201,1179,,,69,1334,2897,998
M530C426,7721,8PUAEVL,PSCDTJML0MCA55B3,1141,1124,,,82,1863,2237,679
M530C427,7721,8PUAEVL,PSCDTJML0MCA55B0,1014,1009,,,105,1996,1622,618
M530C427,7721,8PUAEVL,PSCDTJML0MCA55B3,1014,1009,,,94,1842,1757,585
M530C428,7721,8PUAEVL,PSCDTJML0MCA55B0,1174,1160,,,66,2147,2148,539
M530C429,7721,8PUAEVL,PSCDTJML0MCA55B0,1078,1077,,,49,1665,2259,758
M530C429,7721,8PUAEVL,PSCDTJML0MCA55B3,1078,1077,,,33,1441,2504,848
M530C620,7721,8PUAEVL,PSCDTJML0MCA55B0,1227,1202,,,102,1416,2872,942
M530C621,7721,8PUAEVL,PSCDTJML0MCA55B0,964,941,,,,140,345,138
M530C621,7721,8PUAEVL,PSCDTJML0MCA55B3,964,941,,,6,706,2583,1111
M530C623,7721,8PUAEVL,PSCDTJML0MCA55B0,1114,1102,,,4,918,3019,1237
M530C623,7721,8PUAEVL,PSCDTJML0MCA55B3,1114,1102,,,16,1601,5888,2941
M530C624,7721,8PUAEVL,PSCDTJML0MCA55B0,1011,992,,,10,864,2741,944
M530C754,7721,8PUAEVL,PSCDTJML0MCA55B0,1094,1082,,,122,2134,1707,738
M530C754,7721,8PUAEVL,PSCDTJML0MCA55B3,1094,1082,,,116,2094,1719,607
M530C755,7721,8PUAEVL,PSCDTJML0MCA55B3,1164,1133,,,121,1881,2069,802
M531A017,7721,8PUAEVL,PSCDTJML0MCA55B3,1161,1126,,,190,2018,1919,580
M531A018,7721,8PUAEVL,PSCDTJML0MCA55B3,1103,1082,,,141,1947,1983,529
M531A019,7721,8PUAEVL,PSCDTJML0MCA55B3,1180,1161,,,102,2034,2140,676
M531A020,7721,8PUAEVL,PSCDTJML0MCA55B3,1152,1127,,,45,1743,2514,656
